cpg,gene,chromosome,f_type
cg17634572,5S_rRNA,chr8,Open_Sea
cg00009796,Intergenic,chr16,Island
cg00021558,Intergenic,chr12,Island
cg00024280,Intergenic,chr19,Island
cg00025439,Intergenic,chr16,Open_Sea
cg00026362,Intergenic,chr6,Open_Sea
cg00026603,Intergenic,chr13,Open_Sea
cg00026938,Intergenic,chr2,Open_Sea
cg00036664,Intergenic,chr4,S_Shore
cg00060933,Intergenic,chr6,N_Shore
cg00072675,Intergenic,chr1,N_Shore
cg00081919,Intergenic,chr2,Open_Sea
cg00084019,Intergenic,chr7,N_Shore
cg00084604,Intergenic,chr6,Open_Sea
cg00089528,Intergenic,chr5,N_Shore
cg00097225,Intergenic,chr10,N_Shore
cg00098029,Intergenic,chr4,Island
cg00100012,Intergenic,chr20,Island
cg00109302,Intergenic,chr3,Open_Sea
cg00128718,Intergenic,chr13,Open_Sea
cg00132782,Intergenic,chr10,N_Shelf
cg00149684,Intergenic,chr1,N_Shore
cg00157199,Intergenic,*,Open_Sea
cg00157223,Intergenic,chr6,S_Shelf
cg00159987,Intergenic,chr7,Open_Sea
cg00168032,Intergenic,chr4,Open_Sea
cg00176584,Intergenic,chr8,Island
cg00198680,Intergenic,chr16,Island
cg00214395,Intergenic,chr3,Open_Sea
cg00215611,Intergenic,chr2,N_Shore
cg00228118,Intergenic,chr9,N_Shore
cg00228708,Intergenic,chr10,N_Shore
cg00231085,Intergenic,chr5,S_Shelf
cg00242325,Intergenic,chr10,Open_Sea
cg00252442,Intergenic,chr1,S_Shore
cg00266983,Intergenic,chr7,Island
cg00280895,Intergenic,chr2,N_Shore
cg00296005,Intergenic,chr6,N_Shore
cg00300808,Intergenic,chr2,N_Shore
cg00301660,Intergenic,chr8,Island
cg00301762,Intergenic,chr7,S_Shelf
cg00302979,Intergenic,chr4,Open_Sea
cg00324748,Intergenic,chr10,Open_Sea
cg00330492,Intergenic,chr15,Island
cg00348467,Intergenic,chr17,Island
cg00368636,Intergenic,chr7,Island
cg00382919,Intergenic,chr12,Open_Sea
cg00388471,Intergenic,chr16,N_Shelf
cg00406010,Intergenic,chr8,Open_Sea
cg00406319,Intergenic,chr10,Island
cg00412749,Intergenic,chr6,Island
cg00422474,Intergenic,chr8,Open_Sea
cg00426089,Intergenic,chr1,Open_Sea
cg00427681,Intergenic,chrX,Island
cg00443094,Intergenic,chr4,N_Shore
cg00445318,Intergenic,chr21,N_Shore
cg00456299,Intergenic,chr1,Open_Sea
cg00464946,Intergenic,chr1,S_Shelf
cg00469395,Intergenic,chr16,S_Shore
cg00470007,Intergenic,chr12,Open_Sea
cg00483562,Intergenic,chr5,Island
cg00488091,Intergenic,chr6,N_Shore
cg00498591,Intergenic,chr3,Island
cg00500705,Intergenic,chr12,Island
cg00513941,Intergenic,chr19,N_Shelf
cg00517787,Intergenic,chr4,N_Shore
cg00524374,Intergenic,chr10,Open_Sea
cg00525392,Intergenic,chr18,N_Shore
cg00532492,Intergenic,chr10,S_Shore
cg00538458,Intergenic,chr16,Island
cg00552600,Intergenic,chr7,N_Shore
cg00552696,Intergenic,chr10,Open_Sea
cg00552753,Intergenic,chr17,N_Shelf
cg00570341,Intergenic,chr2,S_Shore
cg00575674,Intergenic,chr1,Open_Sea
cg00583526,Intergenic,chr1,N_Shore
cg00601035,Intergenic,chr8,Open_Sea
cg00613649,Intergenic,chr5,N_Shore
cg00621779,Intergenic,chr8,N_Shelf
cg00622749,Intergenic,chr10,Open_Sea
cg00624404,Intergenic,chr6,Island
cg00628788,Intergenic,chr18,Island
cg00632007,Intergenic,chr6,N_Shore
cg00669390,Intergenic,chr16,Open_Sea
cg00672111,Intergenic,chr12,Open_Sea
cg00675229,Intergenic,chr4,Open_Sea
cg00684125,Intergenic,chr7,Open_Sea
cg00691948,Intergenic,chr17,Open_Sea
cg00692484,Intergenic,chr7,Island
cg00710180,Intergenic,chr2,Open_Sea
cg00732378,Intergenic,chr16,Open_Sea
cg00753885,Intergenic,chr12,S_Shore
cg00765522,Intergenic,chr14,Open_Sea
cg00765992,Intergenic,chr1,N_Shelf
cg00770316,Intergenic,chr2,Open_Sea
cg00771642,Intergenic,chr19,Island
cg00778807,Intergenic,chr1,Open_Sea
cg00787608,Intergenic,chr2,Open_Sea
cg00802903,Intergenic,chr7,S_Shelf
cg00816240,Intergenic,chr2,N_Shore
cg00827210,Intergenic,chr8,N_Shelf
cg00838898,Intergenic,chr16,S_Shore
cg00839507,Intergenic,chr9,N_Shore
cg00850481,Intergenic,chr1,S_Shore
cg00852846,Intergenic,chr2,N_Shore
cg00861010,Intergenic,chr1,S_Shelf
cg00861610,Intergenic,chr4,N_Shore
cg00863286,Intergenic,chr4,N_Shelf
cg00864691,Intergenic,chr16,Open_Sea
cg00872900,Intergenic,*,Open_Sea
cg00873616,Intergenic,chr20,N_Shore
cg00877632,Intergenic,chr10,Open_Sea
cg00879003,Intergenic,chr3,N_Shore
cg00883123,Intergenic,chr4,Open_Sea
cg00895132,Intergenic,chr3,Open_Sea
cg00896347,Intergenic,chr12,Island
cg00917603,Intergenic,*,Open_Sea
cg00921160,Intergenic,chr14,Open_Sea
cg00924017,Intergenic,chr1,Island
cg00924855,Intergenic,chr22,N_Shore
cg00925778,Intergenic,chr10,S_Shelf
cg00929871,Intergenic,*,Open_Sea
cg00938658,Intergenic,chr6,Open_Sea
cg00940007,Intergenic,chr15,N_Shore
cg00945789,Intergenic,chr5,N_Shore
cg00954256,Intergenic,chr1,Open_Sea
cg00956679,Intergenic,chr14,Open_Sea
cg00961866,Intergenic,chr10,Island
cg00966930,Intergenic,chr1,Open_Sea
cg00972140,Intergenic,chr1,Open_Sea
cg00987246,Intergenic,chr13,Open_Sea
cg00996758,Intergenic,chr3,N_Shore
cg00998784,Intergenic,chr5,Island
cg01002570,Intergenic,chr2,N_Shore
cg01009920,Intergenic,chr8,Open_Sea
cg01010285,Intergenic,chr2,Open_Sea
cg01011533,Intergenic,chr10,S_Shelf
cg01013317,Intergenic,chr19,N_Shelf
cg01016662,Intergenic,chr1,Island
cg01019262,Intergenic,chr1,N_Shelf
cg01023872,Intergenic,chr6,S_Shore
cg01029637,Intergenic,chr20,N_Shore
cg01030081,Intergenic,chr13,Open_Sea
cg01035640,Intergenic,chr17,N_Shelf
cg01040434,Intergenic,chr1,N_Shore
cg01063579,Intergenic,chr16,Island
cg01071459,Intergenic,chr5,N_Shore
cg01072076,Intergenic,chr5,Island
cg01106529,Intergenic,chr9,Island
cg01120132,Intergenic,chr19,Open_Sea
cg01124922,Intergenic,chr5,Open_Sea
cg01130771,Intergenic,chr5,Island
cg01131625,Intergenic,*,Open_Sea
cg01139101,Intergenic,chr2,Open_Sea
cg01148120,Intergenic,chr6,Island
cg01156892,Intergenic,chr14,Open_Sea
cg01157871,Intergenic,chr4,Open_Sea
cg01161889,Intergenic,chr6,Island
cg01162421,Intergenic,chr4,Open_Sea
cg01165043,Intergenic,chr2,N_Shore
cg01166876,Intergenic,chr2,Open_Sea
cg01167628,Intergenic,*,Open_Sea
cg01170129,Intergenic,chr2,Open_Sea
cg01198111,Intergenic,chr7,Open_Sea
cg01204772,Intergenic,chr2,Island
cg01209984,Intergenic,chr21,Open_Sea
cg01218371,Intergenic,chr16,N_Shore
cg01228271,Intergenic,chr3,N_Shelf
cg01237501,Intergenic,chr16,Open_Sea
cg01252713,Intergenic,chr2,Open_Sea
cg01254991,Intergenic,chr4,S_Shelf
cg01260146,Intergenic,chr1,Island
cg01269718,Intergenic,chr18,Island
cg01271835,Intergenic,chr10,Open_Sea
cg01278720,Intergenic,chr22,Island
cg01287514,Intergenic,chr5,S_Shore
cg01292539,Intergenic,chr2,Open_Sea
cg01294283,Intergenic,chr2,Open_Sea
cg01317772,Intergenic,chr16,Open_Sea
cg01323224,Intergenic,chr5,S_Shelf
cg01328158,Intergenic,chr2,N_Shore
cg01341969,Intergenic,*,Open_Sea
cg01349034,Intergenic,chr10,Open_Sea
