cpg,gene,chromosome,f_type,importance
cg09887059,LHX5-AS1,chr12,Island,0.060688999
cg22489321,Intergenic,chr13,S_Shore,0.060086718
cg26595643,VAX1,chr10,Island,0.055537849
cg11667086,PAUPAR,chr11,Island,0.05541797
cg04231085,Intergenic,chr16,Open_Sea,0.048812854
cg00503302,PTPRG-AS1,chr3,Island,0.048523435
cg01252713,Intergenic,chr2,Open_Sea,0.047818552
cg06801994,PCID2,chr13,Open_Sea,0.047671987
cg24136205,ZIC5,chr13,Island,0.046877318
cg10659886,ZSCAN18,chr19,Island,0.046758652
cg06854015,RP11-95M5.1,chr3,N_Shore,0.046447411
cg04452311,Intergenic,chr2,Island,0.045618247
cg17529832,LINC01158,chr2,Island,0.045388181
cg01663563,CIB1,chr15,N_Shore,0.044516676
cg18799217,CTC-467M3.1,chr5,Island,0.024551254
cg03389650,Intergenic,chr7,S_Shore,0.023390606
cg11961275,GPR148,chr2,S_Shelf,0.022742069
cg08200419,C10orf91,chr10,Open_Sea,0.018657596
cg05557266,DALRD3,chr3,S_Shore,0.018463836
cg09207077,RHOBTB1,chr10,S_Shelf,0.016440816
cg18759960,PTF1A,chr10,Island,0.012058598
cg00001747,LINC01158,chr2,Island,0.011977108
cg19716702,LINC00608,chr2,Open_Sea,0.010739573
cg06779253,SPSB1,chr1,Open_Sea,0.009359177
cg00249511,CDHR5,chr11,Island,0.009288519
cg24674368,Intergenic,chr14,Open_Sea,0.009024801
cg13451127,NBEAL2,chr3,Island,0.009017836
cg16473141,REC8,chr14,Island,0.008966565
cg08008088,BAI1,chr8,Open_Sea,0.007566706
cg23994043,SATB2,chr2,Island,0.007144586
cg11754857,CDC42BPB,chr14,Open_Sea,0.006577417
cg05827190,MFSD7,chr4,Island,0.006356599
cg01243072,Intergenic,chr2,Island,0.005881011
cg14201617,C2orf61,chr2,Open_Sea,0.005460843
cg08370996,NR2F2,chr15,S_Shore,0.005150632
cg03276489,Intergenic,chr2,Island,0.005120568
cg13862631,FRAS1,chr4,N_Shore,0.004770408
cg21578921,D4S234E,chr4,S_Shelf,0.004256272
cg27297576,RP11-554D14.6,chr12,N_Shore,0.004148205
cg08482531,Intergenic,chr10,Island,0.003662287
cg20668321,GRIA1,chr5,Open_Sea,0.003330731
cg00450784,RFX4,chr12,N_Shore,0.002903459
cg18929842,Intergenic,chr17,N_Shore,0.002724681
cg14988503,CDKL2,chr4,Island,0.00264635
cg21075900,PSG9,chr19,Open_Sea,0.002419718
cg23312248,ABCB9,chr12,Island,0.002305688
cg01405004,FAM19A4,chr3,N_Shore,0.002288929
cg13167518,Intergenic,chr7,Island,0.002128136
cg21299542,PITX2,chr4,S_Shore,0.002018571
cg07388156,ZIC3,chrX,Island,0.001553156
cg00061635,Intergenic,chr17,Open_Sea,0.001357903
cg04723401,FOXG1-AS1,chr14,Open_Sea,0.00082115
cg13020466,PGS1,chr17,Open_Sea,0.000759074
cg10819733,MIF-AS1,chr22,S_Shore,0.000701583
cg27125965,ZNF627,chr19,N_Shore,0.000651971
cg04214938,Intergenic,chr2,Open_Sea,0.000450156
