cpg,gene,chromosome,f_type,importance
cg00158122,LINC01475,chr10,Island,0.077015768
cg00014998,AC009336.19,chr2,Island,0.040592286
cg21039708,OTX2-AS1,chr14,Island,0.039612019
cg00241002,RP13-16H11.7,chr10,Open_Sea,0.039482896
cg02362103,TBX15,chr1,S_Shore,0.039182514
cg10945079,AC009487.5,chr2,Island,0.039166491
cg05148217,FLJ22763,chr3,Island,0.038731354
cg18175808,Intergenic,chr1,Island,0.038533978
cg03738025,LINC00577,chr6,Island,0.038375618
cg03331474,HOXA-AS2,chr7,N_Shore,0.038236357
cg01055129,Intergenic,*,Open_Sea,0.037972185
cg06219125,CACNG3,chr16,Open_Sea,0.037873156
cg02443967,TLL2,chr10,Open_Sea,0.037772484
cg23822732,Intergenic,chr2,Open_Sea,0.037670125
cg25481630,PTPRN2,chr7,N_Shelf,0.037592225
cg01585096,KRTDAP,chr19,Open_Sea,0.037513334
cg00400832,DLX5,chr7,Island,0.037433433
cg01670876,SYNDIG1L,chr14,N_Shore,0.037379596
cg02930356,CYP4F35P,chr18,Open_Sea,0.037297969
cg00205786,ZNF423,chr16,Island,0.022514825
cg00563824,RP11-385M4.3,chr1,Island,0.012702031
cg00788028,Intergenic,chr2,Island,0.012620404
cg00370815,CTC-513N18.7,chr19,Open_Sea,0.012566567
cg01717063,CCDC102A,chr16,Island,0.012486666
cg10941822,FBLN5,chr14,Island,0.012407775
cg06200494,NAB2,chr12,Island,0.012329875
cg07772128,CSK,chr15,Island,0.012227516
cg04367345,ALX4,chr11,Island,0.012027815
cg04706556,AC004540.5,chr7,Open_Sea,0.011906281
cg04013561,GPR133,chr12,Open_Sea,0.011763643
cg00661347,COL13A1,chr10,Open_Sea,0.011624382
cg08871545,Intergenic,chr1,Open_Sea,0.011466022
cg00097452,KCNH1,chr1,N_Shore,0.011268646
cg06595308,Intergenic,chr16,Open_Sea,0.011077951
cg02971481,GGN,chr19,S_Shore,0.010833509
cg23492327,Intergenic,chr6,Open_Sea,0.010817486
cg04034583,EN1,chr2,Island,0.010517104
cg00001809,Intergenic,chr14,Open_Sea,0.009407714
cg06454226,METTL4,chr18,S_Shore,2.17E-16
cg11986813,Intergenic,chr10,Island,1.59E-16
cg07083384,Intergenic,chr2,Open_Sea,1.58E-16
cg01405147,RNF17,chr13,Open_Sea,1.53E-16
cg00250805,SERPINH1,chr11,S_Shore,1.53E-16
cg01267165,LITAF,chr16,S_Shore,1.52E-16
cg18843944,PTPRN2,chr7,Open_Sea,1.36E-16
cg11907662,AC074286.1,chr2,Island,1.31E-16
cg00732656,SIAH2,chr3,Open_Sea,9.86E-17
cg10006428,OR2T27,chr1,Open_Sea,9.38E-17
cg21019522,SLC22A18,chr11,N_Shelf,8.93E-17
cg08257133,KRT83,chr12,N_Shelf,8.81E-17
cg00398276,Intergenic,chr7,Island,8.06E-17
cg06520675,LBX1-AS1,chr10,Island,7.95E-17
cg06761203,CDK4,chr12,N_Shore,7.92E-17
cg03940064,SPATA18,chr4,Island,7.89E-17
cg12503846,PDGFB,chr22,Open_Sea,7.03E-17
cg24396154,TRIM15,chr6,N_Shore,5.66E-17
cg21625007,Intergenic,chr2,Open_Sea,5.52E-17
cg07440376,Intergenic,chr7,S_Shore,5.35E-17
cg14527250,WNT5B,chr12,N_Shore,4.81E-17
cg15034393,Intergenic,chr3,Open_Sea,4.80E-17
cg03003036,RBM10,chrX,N_Shore,4.29E-17
cg26229066,SH3BP4,chr2,Open_Sea,3.64E-17
cg03223659,C1orf234,chr1,Open_Sea,3.10E-17
cg01362243,RP11-89K21.1,chr2,S_Shore,3.06E-17
cg00293303,ERC1,chr12,Open_Sea,2.41E-17
