cpg,gene,chromosome,f_type
cg07095330,5S_rRNA,chr17,S_Shelf
cg17634572,5S_rRNA,chr8,Open_Sea
cg00000165,Intergenic,chr1,S_Shore
cg00001809,Intergenic,chr14,Open_Sea
cg00004209,Intergenic,chr1,N_Shelf
cg00005740,Intergenic,chr13,Open_Sea
cg00006459,Intergenic,chr4,Open_Sea
cg00006787,Intergenic,chr13,Open_Sea
cg00009292,Intergenic,chr1,Island
cg00009796,Intergenic,chr16,Island
cg00009944,Intergenic,chr21,N_Shore
cg00010954,Intergenic,chr16,Open_Sea
cg00011616,Intergenic,chr17,Open_Sea
cg00013660,Intergenic,chr9,N_Shore
cg00014289,Intergenic,chr11,Island
cg00014830,Intergenic,chr17,Island
cg00017221,Intergenic,*,Open_Sea
cg00017842,Intergenic,chr2,N_Shelf
cg00018850,Intergenic,chr14,Open_Sea
cg00019654,Intergenic,chr14,Open_Sea
cg00019759,Intergenic,chr1,N_Shore
cg00019826,Intergenic,chr4,N_Shore
cg00021558,Intergenic,chr12,Island
cg00021933,Intergenic,chr1,S_Shore
cg00022054,Intergenic,chr1,S_Shore
cg00022262,Intergenic,chr12,S_Shelf
cg00024046,Intergenic,chr2,Open_Sea
cg00024086,Intergenic,chr7,Island
cg00024280,Intergenic,chr19,Island
cg00024989,Intergenic,chr19,N_Shelf
cg00025405,Intergenic,chr5,N_Shore
cg00025439,Intergenic,chr16,Open_Sea
cg00026141,Intergenic,chr3,N_Shore
cg00026362,Intergenic,chr6,Open_Sea
cg00026603,Intergenic,chr13,Open_Sea
cg00026938,Intergenic,chr2,Open_Sea
cg00027586,Intergenic,chr18,N_Shore
cg00028211,Intergenic,chr2,N_Shore
cg00028870,Intergenic,chr3,Island
cg00036585,Intergenic,chr6,Open_Sea
cg00036664,Intergenic,chr4,S_Shore
cg00039147,Intergenic,chr17,Open_Sea
cg00039489,Intergenic,chr16,Open_Sea
cg00042263,Intergenic,chr2,Open_Sea
cg00043591,Intergenic,chr7,S_Shelf
cg00043819,Intergenic,chr4,Island
cg00045275,Intergenic,chr1,N_Shore
cg00045910,Intergenic,chr10,S_Shelf
cg00046899,Intergenic,chr13,Open_Sea
cg00050294,Intergenic,chr1,Island
cg00051782,Intergenic,chr3,Island
cg00051952,Intergenic,chrX,N_Shore
cg00052588,Intergenic,chr16,Open_Sea
cg00055073,Intergenic,chr2,Island
cg00055555,Intergenic,chr10,N_Shore
cg00055986,Intergenic,chr5,Open_Sea
cg00058291,Intergenic,chr1,Open_Sea
cg00060484,Intergenic,chr4,Open_Sea
cg00060641,Intergenic,*,Open_Sea
cg00060933,Intergenic,chr6,N_Shore
cg00061635,Intergenic,chr17,Open_Sea
cg00061678,Intergenic,chr1,Open_Sea
cg00065396,Intergenic,chr6,N_Shore
cg00067600,Intergenic,chr3,Open_Sea
cg00068316,Intergenic,chr9,N_Shore
cg00069014,Intergenic,chr1,Open_Sea
cg00070242,Intergenic,chr2,Island
cg00070383,Intergenic,chr4,N_Shore
cg00071012,Intergenic,*,Open_Sea
cg00072675,Intergenic,chr1,N_Shore
cg00073837,Intergenic,chr2,Island
cg00076774,Intergenic,chr2,Open_Sea
cg00077477,Intergenic,chr5,Open_Sea
