cpg,gene,chromosome,f_type
cg02415963,5S_rRNA,chr16,Open_Sea
cg17189985,5S_rRNA,chr12,Open_Sea
cg14491479,7SK,chr8,Island
cg00000948,Intergenic,chr8,Island
cg00003578,Intergenic,chr1,Island
cg00004061,Intergenic,chr6,Open_Sea
cg00004773,Intergenic,chr12,Open_Sea
cg00007215,Intergenic,chr17,N_Shore
cg00007426,Intergenic,chr2,Open_Sea
cg00010890,Intergenic,chr12,Open_Sea
cg00015340,Intergenic,chr6,Open_Sea
cg00017826,Intergenic,chr2,Open_Sea
cg00019308,Intergenic,chr1,Open_Sea
cg00020474,Intergenic,chr1,Open_Sea
cg00021550,Intergenic,chr1,S_Shelf
cg00022145,Intergenic,chr22,S_Shelf
cg00022900,Intergenic,chr8,Open_Sea
cg00023411,Intergenic,chr2,Open_Sea
cg00025643,Intergenic,chr1,Open_Sea
cg00029979,Intergenic,chr17,Open_Sea
cg00031277,Intergenic,chr4,Open_Sea
cg00032308,Intergenic,chr6,N_Shelf
cg00034755,Intergenic,chr22,N_Shore
cg00037406,Intergenic,chr19,N_Shore
cg00038131,Intergenic,*,Open_Sea
cg00040322,Intergenic,chr2,Open_Sea
cg00040411,Intergenic,chr6,Island
cg00041270,Intergenic,chr4,Open_Sea
cg00041873,Intergenic,chr7,N_Shore
cg00043444,Intergenic,chr6,Open_Sea
cg00049595,Intergenic,chr6,N_Shore
cg00053361,Intergenic,chr8,Open_Sea
cg00054572,Intergenic,chr13,S_Shelf
cg00055603,Intergenic,chr1,Open_Sea
cg00056433,Intergenic,chr1,Open_Sea
cg00058644,Intergenic,chr17,N_Shelf
cg00058857,Intergenic,chr3,Open_Sea
cg00064415,Intergenic,chr17,Open_Sea
cg00064778,Intergenic,chr5,N_Shore
cg00066828,Intergenic,chr17,Island
cg00066919,Intergenic,chr2,Open_Sea
cg00067588,Intergenic,chr10,Open_Sea
cg00068779,Intergenic,chr4,Open_Sea
cg00069969,Intergenic,chr13,Open_Sea
cg00070870,Intergenic,*,Open_Sea
cg00071241,Intergenic,chr7,Open_Sea
cg00072426,Intergenic,chr16,S_Shelf
cg00074415,Intergenic,chr10,Open_Sea
cg00075103,Intergenic,chr3,Open_Sea
cg00076216,Intergenic,chr13,Open_Sea
cg00078911,Intergenic,chr2,Open_Sea
cg00078996,Intergenic,chr12,N_Shore
cg00080423,Intergenic,chr5,Open_Sea
cg00080987,Intergenic,chr3,Open_Sea
cg00081141,Intergenic,chr1,N_Shore
cg00081439,Intergenic,chr10,S_Shore
cg00081445,Intergenic,chr6,Open_Sea
cg00081714,Intergenic,chr5,Open_Sea
cg00083018,Intergenic,chr6,N_Shore
cg00083223,Intergenic,chr13,Open_Sea
cg00083262,Intergenic,chr1,Open_Sea
cg00083790,Intergenic,chr12,Open_Sea
cg00089821,Intergenic,chr6,Open_Sea
cg00089966,Intergenic,chr5,N_Shelf
cg00091760,Intergenic,chr10,N_Shelf
