cpg,gene,chromosome,f_type,importance
cg08524525,BBS12,chr4,Island,0.092122759
cg01935967,RERE,chr1,S_Shore,0.092013316
cg00002406,CD2BP2,chr16,Island,0.091357841
cg01056310,SERBP1,chr1,Island,0.049773263
cg03188641,MGAT5B,chr17,Island,0.046290132
cg05578937,UEVLD,chr11,Island,0.046275679
cg02693857,MXD3,chr5,Island,0.046261327
cg01408915,RALGDS,chr9,Island,0.046247074
cg08127876,HOMEZ,chr14,S_Shore,0.046182777
cg22720349,RP11-864I4.1,chr11,Island,0.046163586
cg13870425,NELFE,chr6,Island,0.046144647
cg01611886,RNF144A,chr2,Island,0.046123339
cg18495298,FADS3,chr11,Island,0.046094369
cg22573456,TSEN2,chr3,N_Shore,0.046030614
cg22662649,UGGT1,chr2,N_Shore,0.045993928
cg11041966,RBM28,chr7,Island,0.045956036
cg00328883,MKKS,chr20,S_Shore,0.045876731
cg00023233,Intergenic,chr10,Island,0.00447457
cg03479278,BCAP29,chr7,N_Shore,0.004216731
cg14520957,C1orf189,chr1,Open_Sea,0.004167588
cg10366647,BANP,chr16,Open_Sea,0.004123269
cg08868352,TEX14,chr17,Island,0.004084958
cg00254079,RP11-667F14.1,chr7,Island,0.004043964
cg15381410,MEST,chr7,S_Shore,0.004006072
cg00636641,GAS1,chr9,Island,0.003969386
cg19357451,Intergenic,chr11,N_Shelf,0.003936605
cg03641105,EEF2K,chr16,N_Shore,0.003905631
cg22032989,ISG20L2,chr1,N_Shelf,0.003876661
cg11679298,MCM8,chr20,S_Shore,0.003855353
cg12647932,COL19A1,chr6,N_Shore,0.003836414
cg04587983,KCND1,chrX,Island,0.003817223
cg02537149,LRRC41,chr1,Island,0.003792284
cg00339430,RP11-386B13.3,chr4,Open_Sea,0.003769953
cg23711939,NDUFA4,chr7,Island,0.003752926
cg02106430,HNRNPC,chr14,Island,0.003738673
cg00206052,DPCD,chr10,Island,0.003724321
cg14459716,TGFBRAP1,chr2,S_Shelf,5.84E-17
cg25005357,TCF12,chr15,Open_Sea,4.95E-17
cg22068400,Intergenic,chr2,Open_Sea,4.21E-17
cg12667125,C1orf216,chr1,N_Shelf,4.16E-17
cg00106925,LRRC3,chr21,N_Shelf,3.92E-17
cg23885562,CCDC28B,chr1,N_Shore,3.88E-17
cg26960896,KCNN4,chr19,Open_Sea,3.76E-17
cg07767963,MPP2,chr17,Island,3.11E-17
cg26413007,MID1,chrX,S_Shelf,3.10E-17
cg21751146,GORASP1,chr3,Island,3.08E-17
cg01603247,CLPTM1L,chr5,N_Shore,3.06E-17
cg01702407,MRPS18B,chr6,S_Shore,2.94E-17
cg13949836,NR5A1,chr9,N_Shore,2.91E-17
cg09998004,HSD17B13,chr4,Open_Sea,2.88E-17
cg13983686,TENM2,chr5,Open_Sea,2.84E-17
